Date,Close,Open,High,Low,Volume,R_t,sigma_t,MRI_t,DP_t,CAPE_t,Future_Return,Future_Volatility
1990-01-31,329.0799865722656,322.9800109863281,329.0799865722656,322.9800109863281,189660000,-0.08510110278677263,0.1668515215124658,0.6191374390893664,0.018993428306022464,14.33450915866211,-0.4613358356328131,0.6501197385181535
1990-02-02,330.9200134277344,328.7900085449219,332.1000061035156,328.0899963378906,164400000,-0.0695869740647358,0.1701653605955918,0.6199988677140096,0.01931293527492649,14.362571319471995,-0.4110519071810144,0.5169635028598731
1990-02-06,329.6600036621094,331.8500061035156,331.8599853515625,328.20001220703125,134070000,-0.06820431414119099,0.1681387564054895,0.6172775665239455,0.017566809431481947,13.370682018988186,-0.3634098232334496,0.6540859668867397
1990-02-08,332.9599914550781,333.75,336.0899963378906,332.0,176240000,-0.04131757278623882,0.17280881505408843,0.6159661942856622,0.021211099361106402,11.60249181126817,-0.34774734187898315,0.5390763515568459
1990-02-12,330.0799865722656,333.6199951171875,333.6199951171875,329.9700012207031,118390000,-0.02897657257596087,0.15500245447505567,0.59136537547905,0.017131281857830624,15.683482150541757,-0.43260201446523544,0.6254045215032102
1990-02-14,332.010009765625,331.0199890136719,333.20001220703125,330.6400146484375,138530000,-0.02564927434886277,0.14782195438157203,0.5819273190854316,0.017160951277624844,16.656967453512994,-0.47125640877365393,0.7283508725876174
1990-02-16,332.7200012207031,334.8900146484375,335.6400146484375,332.4200134277344,166840000,-0.016174343360876975,0.1492546421360618,0.5805810642449468,0.018589266157376525,14.086376573050314,-0.4057970925012524,0.6572640947229054
1990-02-21,327.6700134277344,327.9100036621094,328.1700134277344,324.4700012207031,159240000,-0.008202649721611888,0.12812727706458893,0.5534021862379563,0.01467305960117698,15.01116006900456,-0.46336089104745976,0.6056704252721372
1990-02-23,324.1499938964844,325.70001220703125,326.1499938964844,322.1000061035156,148490000,-0.018500622807698375,0.12889492779186162,0.5576032643175037,0.016114785161991167,14.333532622148088,-0.4224924533383215,0.42239245273535425
1990-02-28,331.8900146484375,330.260009765625,333.4800109863281,330.1600036621094,184400000,0.020571962454746906,0.13237630774997505,0.5478701570075781,0.01534216488963766,15.698931586037489,-0.45029202111255473,0.48380294273179353
1990-03-02,335.5400085449219,332.739990234375,335.5400085449219,332.7200012207031,164330000,0.019630552559408265,0.11594585343940458,0.5295799647905503,0.01773276709213064,15.592805449853973,-0.463909885394225,0.49675484955474036
1990-03-06,337.92999267578125,333.739990234375,337.92999267578125,333.57000732421875,143640000,0.021183304011855197,0.12334404491234324,0.5373772448422938,0.015352368448506007,16.494302993421055,-0.468017079751461,0.47650745647991705
1990-03-08,340.2699890136719,336.95001220703125,340.6600036621094,336.95001220703125,170900000,0.032184630327303454,0.1246889072421727,0.5345408526327049,0.018441252638855196,12.037373342594389,-0.36685392315940796,0.4341541847212794
1990-03-12,338.6700134277344,337.92999267578125,339.0799865722656,336.1400146484375,114790000,0.017149273543955568,0.12097333265545386,0.5362198295475386,0.018988343428972976,16.2794178190898,-0.4520277739836897,0.6296032445726826
1990-03-14,336.8699951171875,336.0,337.6300048828125,334.92999267578125,145060000,0.020570797446501032,0.11813958036665066,0.531710817784124,0.017671096903588535,17.953671293503948,-0.502861866375027,0.5735564413612781
1990-03-16,341.9100036621094,338.07000732421875,341.9100036621094,338.07000732421875,222520000,0.029818359703892794,0.12349099020420645,0.5341476482896406,0.02197657464487339,16.29943344900302,-0.474782077932748,0.3896951583897077
1990-03-20,341.57000732421875,343.5299987792969,344.489990234375,340.8699951171875,177320000,0.02659896030009068,0.12072183889188191,0.5323024646714192,0.0161741269361895,13.5415775569256,-0.40820862283548875,0.3319920887800641
1990-03-23,337.2200012207031,335.69000244140625,337.5799865722656,335.69000244140625,132070000,0.03536993731013194,0.11686476014819226,0.5244607043229497,0.01873356499903223,15.980983851981378,-0.43824362236576925,0.5677940309794878
1990-03-27,341.5,337.6300048828125,341.5,337.0299987792969,131610000,0.03903607280281007,0.11153784955220625,0.5170140382766396,0.015676986897693524,12.506443312818677,-0.3764717272463588,0.3889487747571245
1990-03-29,340.7900085449219,342.0,342.07000732421875,339.7699890136719,132190000,0.026816094198892637,0.11176452892664686,0.5221169030984077,0.019827809231081843,15.13640630513278,-0.46676915950543724,0.3757478320740586
1990-04-02,338.70001220703125,339.94000244140625,339.94000244140625,336.3299865722656,124360000,0.009417665797330166,0.1101850710396668,0.5267554265448456,0.018137092255033675,19.326765662650832,-0.5181018654295969,0.677620088127821
1990-04-04,341.0899963378906,343.6400146484375,344.1199951171875,340.3999938964844,159530000,0.00935106007338371,0.11474590495832955,0.5319798514812242,0.015428853044951812,14.12110061037691,-0.3737205453843293,0.5109847291873363
1990-04-06,340.0799865722656,340.7300109863281,341.7300109863281,338.94000244140625,137490000,-0.0005583873028502939,0.10934031323280978,0.5292120084179879,0.017482122930895884,18.471472222023483,-0.539887921729165,0.7389640260168024
1990-04-10,342.07000732421875,341.3699951171875,342.4100036621094,340.6199951171875,136020000,0.010039252846959945,0.10708792781610293,0.5230098060217075,0.019108135524487042,19.526574961035596,-0.5838044442843847,0.6865814975778289
1990-04-12,344.3399963378906,341.9200134277344,344.7900085449219,341.9100036621094,142470000,0.022174730100567475,0.10487496457420488,0.5161122618848951,0.019086560166295164,15.566314748258856,-0.4468736215780956,0.5239123343894097
1990-04-17,344.67999267578125,344.739990234375,345.19000244140625,342.05999755859375,127990000,0.008101514971785573,0.09740808468732189,0.5126779319399761,0.017102036102948852,14.9373049565403,-0.41075836075625854,0.5230737725054816
1990-04-20,335.1199951171875,338.0899963378906,338.5199890136719,333.4100036621094,174260000,-0.013598620268400863,0.1084332727152689,0.5323464264379103,0.02034466154771285,16.205631966719054,-0.4514643880038426,0.662112205305297
1990-04-24,330.3599853515625,331.04998779296875,332.9700012207031,329.7099914550781,137360000,-0.020342849903054572,0.10715173912219732,0.5328896863607477,0.017881149975246945,13.982387807560587,-0.3736100006224871,0.39074385906626646
1990-04-26,332.9200134277344,332.0299987792969,333.760009765625,330.6700134277344,141330000,-0.025124411631817334,0.10042993058173617,0.5264669898856696,0.020468132238081475,16.441096621221874,-0.4836981669018797,0.5754660100338435
1990-04-30,330.79998779296875,329.1099853515625,331.30999755859375,327.760009765625,122750000,-0.029314300599972754,0.10837876065401876,0.5368719661304874,0.018163184911414835,17.722474069380013,-0.5110552929804049,0.5739572616123162
1990-05-02,334.4800109863281,332.25,334.4800109863281,332.1499938964844,141610000,-0.012459406757043823,0.1128569616542026,0.5371059049461715,0.016159543906183675,18.94799524405149,-0.5420012598763538,0.38413826273577123
1990-05-04,338.3900146484375,335.5799865722656,338.4599914550781,335.1700134277344,140550000,-0.007915745751682746,0.10217101214109954,0.5233645179859686,0.021281884694545818,14.11199941013343,-0.4453592768562681,0.46643507485870683
1990-05-08,342.010009765625,340.5299987792969,342.0299987792969,340.1700134277344,144230000,0.005675203686087205,0.10551122369697376,0.5227274103303324,0.020593910894547703,16.822535574986023,-0.5051811952929077,0.5333208012693553
