Date,Close,Open,High,Low,Volume,R_t,sigma_t,MRI_t,DP_t,CAPE_t,Future_Return,Future_Volatility
2021-04-12,4947.75,5026.97998046875,5045.60009765625,4933.009765625,152600,-0.03519158836458991,0.20246875395578137,0.7827196625479346,0.027388161638184447,8.280332671305867,-0.19585967766531073,0.5490272298472586
2021-04-13,4939.64013671875,4949.81005859375,4994.5400390625,4924.2001953125,132900,-0.040171878252556525,0.2015960944425951,0.7831395843706908,0.03161224345580869,10.938508890913244,-0.252640419217094,0.4165917783713108
2021-04-14,4980.6298828125,4945.68994140625,4987.1201171875,4940.27001953125,120900,-0.01090452182368562,0.1911502912063088,0.763096476647714,0.02395553104161577,7.437960154750851,-0.20004157853231244,0.46437884312042066
2021-04-15,4948.97021484375,4969.91015625,4969.91015625,4900.2998046875,108800,-0.025670488397581015,0.1891706478634981,0.7657456823428432,0.026672738274660816,6.586287224163595,-0.1676423822724597,0.554002607666629
2021-04-16,4966.18017578125,4966.89990234375,4979.169921875,4917.9599609375,111200,-0.026403330244278433,0.18891676660237525,0.7656918870600483,0.025814479132592362,7.460605754696068,-0.1915217033207521,0.45522714707323597
2021-04-19,5087.02001953125,4966.41015625,5088.2099609375,4940.75,154800,-0.010648084179578188,0.20657972055842058,0.7792906779824457,0.021882240275114637,10.434400924714257,-0.23293407031972815,0.48865768681368116
2021-04-20,5083.3701171875,5065.77978515625,5119.85986328125,5058.919921875,136500,0.015234452709634416,0.1841817400350598,0.7457155834292254,0.02768006688825463,7.625937223964069,-0.19820588206878506,0.5120037381837758
2021-04-21,5098.740234375,5055.240234375,5110.56005859375,5047.990234375,124600,0.008224065498231514,0.18134850436539857,0.7455263472997314,0.02971599437161802,8.136108933151197,-0.2104275002355987,0.5423055383370133
2021-04-22,5089.240234375,5114.27978515625,5119.22021484375,5067.14013671875,121200,0.015968505140490086,0.17798659288968974,0.7387912809635084,0.02817951209858636,4.272029598905657,-0.08145944907353599,0.3960939544103634
2021-04-23,5135.4501953125,5088.830078125,5149.97998046875,5086.490234375,122100,0.041950347123531406,0.16900572895155616,0.7176031986596025,0.02672233382622126,10.525133595757877,-0.24674596686529127,0.4485821354252995
2021-04-26,5077.240234375,5156.58984375,5181.10986328125,5072.9599609375,151400,0.030629194784702163,0.17509703876807828,0.729358185259309,0.029593570268911684,9.834523105095338,-0.19544091308125644,0.620011449394114
2021-04-27,5090.52001953125,5076.64013671875,5095.97998046875,5042.60986328125,124000,0.010426734215924327,0.15744408707166924,0.718656795986396,0.03430605328327708,7.1840144239315435,-0.17300297256852526,0.5760917206548662
2021-04-28,5119.240234375,5073.97021484375,5119.4501953125,5059.259765625,120600,0.014337640927204909,0.15839387121390255,0.7181696149123347,0.029598477699803002,7.635639779284987,-0.21942493637902363,0.346810482250969
2021-04-29,5164.169921875,5128.27978515625,5170.58984375,5113.64990234375,140100,0.013629758921955837,0.157921286359296,0.7179305061062351,0.02748618199469703,7.468243532172462,-0.20611282085058863,0.5886948195224553
2021-04-30,5123.490234375,5156.35986328125,5163.25,5094.93017578125,160100,0.014882134619642162,0.15701901045486957,0.7164410605669395,0.023031374077172158,8.248873779405615,-0.21142065491210024,0.6105933496759121
2021-05-06,5061.1201171875,5098.7998046875,5132.89990234375,5037.41015625,158800,-0.009716651872378024,0.15715766772437342,0.7255747065829209,0.02689542842121407,7.463227571646765,-0.18367848523756514,0.6676111646648264
2021-05-07,4996.0498046875,5073.4599609375,5093.75,4996.0400390625,172300,-0.03206593588515616,0.1580678886184085,0.7333165989750615,0.02696440508283768,7.962667714367452,-0.1711490264099652,0.6215870837892788
2021-05-10,4992.419921875,5001.43994140625,5019.39013671875,4953.7001953125,170800,-0.028776292301928574,0.1577989872315116,0.732112461136527,0.027773172120860983,8.331231841528368,-0.1892349867192864,0.42205965098414056
2021-05-11,5023.06005859375,4956.080078125,5033.490234375,4925.919921875,151500,-0.015808049014298997,0.15836478104009613,0.7288914810316144,0.029727399384583193,7.443359197595674,-0.19345151743703298,0.2651172795412615
